title	exam_id	id	final_question_number	correct_ans	distractor_a	distractor_b	distractor_c	distractor_d	distractor_e	section	stem	question_text	critique	critique_media	pubmed_ref_id_1	pubmed_ref_id_2	pubmed_ref_id_3	pubmed_ref_id_4	abstract_1_title	abstract_2_title	abstract_3_title	abstract_4_title
pharmacology; milrinone; cardiogenic shock; treatment	sesats 10	1420	373	E	<p>Add a dobutamine drip.</p>	<p>Continue milrinone and add norepinephrine.</p>	<p>Place an intra-aortic balloon pump.</p>	<p>Volume resuscitate the patient more.</p>	<p>Wean the milrinone.</p>	Critical Care		"<p>A 69-year-old man is 30 hours status-post mitral valve repair for ischemic mitral regurgitation. Post-cardiotomy global myocardial dysfunction was treated with milrinone infusion at a rate of 0.5 μg/(kg*min). In addition to milrinone the patient is on a vasopressin infusion at 0.08 units/minute. The patient&#39;s hemodynamics include: CVP 14, PA 43/22, CI 3.1, BP 78/40, HR 100. Which of the following is the most appropriate action?</p>"	"<p>Milrinone is a potent phosphodiesterase inhibitor that has value in the management of cardiogenic shock. This class of drugs increases contractility and decreases right ventricular afterload. Hypotension is a common side-effect of milrinone that is often treated by adding an alpha agonist such as vasopressin or norepinephrine. While the described patient may have had some transient myocardial dysfunction immediately after cardiotomy, the hemodynamics presented reflect recovery. The current profile indicates a hyperdynamic heart with decreased peripheral vasomotor tone (low SVR). Adding dobutamine or placing an intra-aortic balloon pump is not necessary because cardiac output is satisfactory. Epinephrine will further increase the tachycardia, which is undesirable. This patient is recovering from perioperative stunning, and simplifying his management is prudent. Decreasing the milrinone drip will allow SVR and blood pressure to rise. Other interventions may be required after this change.</p>"		16675238	10667533			Comparative hemodynamic effects of vasopressin and norepinephrin	Vasopressin as an alternative to norepinephrine in the treatment		
physiology; contrast-induced nephropathy; hydration; acetyl cysteine	sesats 10	1427	374	C	<p>administer fenoldopam prior to CT scan</p>	<p>pre- and post-contrast IV doses of acetylcysteine</p>	<p>pre-contrast hydration with IV normal saline</p>	<p>pre-contrast low-dose dopamine infusion</p>	<p>pre-contrast oral dose of acetazolamide</p>	Critical Care		"<p>Seven days after CABG a 68-year-old woman is septic with multiorgan dysfunction. Her temperature is 104<sup>o</sup>F, white count is 16,000, serum creatinine is up to 1.6 mg/dL from 1.1, and she complains of left flank pain. The decision is made to perform an abdominal and pelvic CT to look for an intra-abdominal source of infection. Which of the following is most likely to decrease the risk of worsening renal function from intravenous contrast?</p>"	"<p>Intravenous radiocontrast is known to cause acute decreases in renal function. Pre-existing renal dysfunction, medications which can decrease renal perfusion (e.g., ACE inhibitors), and high volume radiocontrast increase the risk of acute renal failure after exposure to the contrast. Randomized controlled drug studies do not support the administration of low-dose dopamine. Adding a diuretic such as furosemide or mannitol to hydration may worsen renal function compared to hydration alone. At least one study supports the oral administration of acetylcysteine the day before, and for 12 hours after, giving intravenous radiocontrast. Currently no studies support the use of intravenous acetylcysteine. Neither acetazolamide (a carbonic anhydrase inhibitor and diuretic) nor fenoldopam (a dopamine D1 agonist used as an antihypertensive) has demonstrated renal protective effects. The primary therapy that has been shown to decrease contrast-associated renal dysfunction is hydration prior to and for a short time after giving IV contrast.</p>"		7731155	7969280	9872190	10900277	Nephrotoxicity of ionic and nonionic contrast media in 1196 pati	Effects of saline mannitol and furosemide to prevent acute decre	PREPARED Preparation for Angiography in Renal Dysfunction a rand	Prevention of radiographiccontrastagentinduced reductions in ren
refractory shock; adrenal insufficiency; steroid therapy	sesats 10	1386	375	D	<p>An ACTH stimulation test should be performed and then hydrocortisone 50 mg IV Q 6 hours should be initiated.</p>	<p>Corticosteroids are not indicated for this patient and no ACTH stimulation test should be performed.</p>	<p>Dexamethasone 4 mg IV q12 hours should be given until an ACTH stimulation test is performed.</p>	<p>No ACTH stimulation test should be performed and hydrocortisone 50 mg IV Q 6 hours should be considered.</p>		Critical Care		"<p>A 75-year-old man with a history of T3N0M0 colon cancer had a new PET-positive left lung nodule. Intraoperative frozen section pathology was consistent with non-small cell lung cancer, so a left upper lobectomy and mediastinal lymph node dissection were done. The following morning he was oliguric, heart rate was 110 and systolic pressure was 70. Colloid, crystalloid, dopamine (5 μg/(kg*min)) and broad spectrum antibiotics were started. Epinephrine was subsequently added and a mixed acidosis prompted intubation. Attempts at awake intubation were unsuccessful, and etomidate and succinylcholine were used. Hypotension persists despite starting vasopressin (0.04 units/min). Which of the following statements regarding the next course of action is correct?</p>"	"<p>This patient has refractory shock that is not responding to IV fluid and vasopressors. The potential benefits of corticosteroids in septic shock have been evaluated in six trials. Some have shown that corticosteroids decrease the need for vasopressors and the time to shock reversal. The two largest trials, the French multicenter study and CORTICUS, had conflicting results regarding the benefit of corticosteroids on mortality and the utility of ACTH stimulation tests in identifying patients with relative adrenal insufficiency. The French multicenter study enrolled patients who had refractory shock (systolic blood pressure &lt; 90 mmHg despite adequate fluids AND vasopressors for at least one hour) and demonstrated a 30% reduction in mortality in patients who were considered non-responders by ACTH testing. In the CORTICUS trial patients who had systolic blood pressures &lt; 90 mmHg despite adequate fluids or vasopressors at some point in the preceding 72 hours were enrolled in the study. No benefit in mortality was seen in this trial, and ACTH testing did not predict patient benefit. Based on the results of these trials, recent consensus guidelines recommend that corticosteroids be considered for patients with refractory septic shock who are not responding to fluid and vasopressor therapy. Currently, ACTH testing is not recommended.</p><p>In addition to septic shock, another potential cause of adrenal insufficiency in this patient is the etomidate given for intubation. Etomidate is a selective inhibitor of adrenal 11 beta-hydroxylase, which converts deoxycortisol to cortisol. Several studies have documented a high incidence of adrenal insufficiency in critically ill patients who receive a single dose of etomidate. Some clinicians have advocated the empiric use of hydrocortisone for 24-48 hours after administration of etomidate in this population.</p><p>This patient has refractory shock, and corticosteroid therapy should be considered. Hydrocortisone is preferred since it has mineralocorticoid activity while dexamethasone does not. Dexamethasone was previously recommended for use while ACTH test results were pending, since this synthetic corticosteroid is not measured in cortisol assays, unlike hydrocortisone. However, dexamethasone can suppress endogenous ACTH, which complicates the interpretation of ACTH stimulation results. In fact, dexamethasone is is used to suppress ACTH to diagnose Cushing&#39;s disease. In the described patient scenario, ACTH stimulation test results are unreliable after administration of etomidate, and thus not recommended based on currently available evidence.</p>"		12186604	18184957	18092151	18496365	Effect of treatment with low doses of hydrocortisone and fludroc	Hydrocortisone therapy for patients with septic shock	Duration of adrenal inhibition following a single dose of etomid	Recommendations for the diagnosis and management of corticostero
respiratory failure; ventilator management; low tidal volume ventilation	sesats 10	1426	376	C	<p>Decrease PEEP to 8.</p>	<p>Decrease the rate to 16.</p>	<p>Decrease tidal volume to 480.</p>	<p>Increase FiO<sub>2</sub> to 0.8.</p>	<p>No changes are needed.</p>	Critical Care		"<p>A 73-year-old 80 kg man with COPD (preop FEV<sub>1</sub> = 1.0 L) underwent urgent CABG for severe left main disease. On postop day 4, he was transferred back to the ICU with presumed hospital-acquired pneumonia. He was reintubated for hypoxemic respiratory failure and initial ventilator settings included assist control mode, FiO<sub>2</sub> 0.5, rate 22, tidal volume 800 mL, and PEEP 10 cm H<sub>2</sub>0. After one hour he appeared comfortable on the ventilator. A chest x-ray revealed a left lower lobe infiltrate and otherwise normal postoperative findings. On inspection now, temperature = 101<sup>o</sup>F, P = 84, BP = 136/58, O<sub>2</sub> sat = 91%, and peak airway pressure on the ventilator is 39 cm H<sub>2</sub>0. Blood gas values are pH 7.49, pCO<sub>2</sub> 32, pO<sub>2&nbsp;</sub>59, and bicarb 22. Which of the following ventilator changes should be made?</p>"	"<p>The goals of mechanical ventilation are to reduce shunt, to avoid toxic concentrations of oxygen, and to use ventilator settings that do not amplify lung damage. Multiple studies have demonstrated the benefits of low tidal volume ventilation. For most patients who have risk factors for prolonged ventilation the tidal volume should be 5-7 mL/kg of ideal body weight. Ideally, the chosen volume will result in a peak inspiratory pressure less than 30 cm H<sub>2</sub>O. An occasional consequence of &quot;lung protective&quot; ventilation is hypercapnia, which is preferable to alveolar overdistention. In the described patient, end-tidal CO<sub>2</sub> monitoring should be used and the respiratory rate can be increased to compensate for limited minute ventilation as long as autoPEEP is not present.</p>"			18058085			Management of the Ventilated Patient	Surviving Sepsis Campaign international guidelines for managemen		
stress ulceration; prophylaxis	sesats 10	1387	377	C	<p>enteral nutrition</p>	<p>no prophylaxis is needed</p>	<p>ranitidine</p>	<p>sucralfate</p>		Critical Care		"<p>A 78-year-old man with LV ejection fraction &lt; 25% had severe aortic insufficiency and moderate mitral regurgitation. Aortic valve replacement was done, but left ventricular distension and elevated PA pressures led to placement of an intra-aortic balloon pump and epinephrine, milrinone and nitroprusside infusions. Drugs were being weaned on POD#2 but he was still intubated and sedated with propofol. A small bore nasal feeding tube is in place with the tip in the duodenum. Which of the following is the best strategy for stress ulcer prophylaxis for this man?</p>"	"<p>Among all critically ill patient populations, mechanical ventilation and coagulopathy have been shown to be independent risk factors for development of stress ulceration. In a prospective cohort study of cardiac surgery patients, higher rates of GI bleeding were associated with prolonged mechanical ventilation, prolonged duration of extracorporeal circulation, and long crossclamp times.&nbsp;Conflicting evidence is available for the benefit of enteral nutrition to prevent stress ulceration.&nbsp;Sucralfate, an aluminum compound, coats the mucosal lining but has no effect on gastric pH. Its activity is at the site of administration only (i.e., stomach or duodenum depending on feeding tube placement). Sucralfate was once associated with lower rates of nosocomial pneumonia compared to acid-suppressing agents. However, in a comparative study with ranitidine among ICU patients, sucralfate was associated with higher rates of GI bleeding and similar rates of nosocomial pneumonia.&nbsp;</p><p>The most efficacious strategy for pharmacologic prophylaxis is with histamine-receptor antagonists (e.g., ranitidine), which are recommended as first-line agents in consensus guidelines. Current guidelines recommend adding sucralfate, histamine antagonists or proton-pump inhibitors for patients at high risk for GI hemorrhage. The described patient has several risk factors for development of stress ulceration (prolonged mechanical ventilation, prolonged bypass and crossclamp times) and should receive pharmacologic therapy for prophylaxis. Sucralfate is not an appropriate choice since administration via the feeding tube would only coat the duodenum and not the stomach. Ranitidine can be given intravenously.</p>"		10690219	15061430	10667508	9504939	ASHP Therapeutic Guidelines on Stress Ulcer Prophylaxis ASHP Com	Stress ulcer prophylaxis in the postoperative period	Helicobacter pylori infection a risk factor for upper gastrointe	comparison of sucralfate and ranitidine for the prevention of up
transfusion; complication; TRALI; treatment	sesats 10	1260	378	E	<p>aspiration pneumonia.</p>	<p>delayed postoperative hemorrhage.</p>	<p>post-pneumonectomy bronchopleural fistula.</p>	<p>post-pneumonectomy syndrome.</p>	<p>transfusion-related acute lung injury.</p>	Critical Care	"http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4575_4575a.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4575_4575b.jpg"	"<p>A 62-year-old former smoker had a 5.5 cm left upper lobe adenocarcinoma extending across the major fissure by CT scan. FEV<sub>1</sub> was 73% predicted, lung capacity was normal and DLCO was 60% predicted. Intraoperative node samplings were all without malignancy, and left pneumonectomy was done. On POD#12 his hematocrit was 24% and he received 2 units of packed red cells. Approximately 90 minutes later he developed fever, tachycardia, dyspnea, and hypoxemia. Chest radiographs immediately before and after the deterioration are shown. The most likely explanation for this clinical situation is</p>"	"<p>Transfusion-related acute lung injury, or TRALI, is an acute lung injury pattern that occurs during or within six hours after a transfusion. All blood products can cause TRALI. Although the mechanism is not precisely defined, the problem resides in the donor. Suspected cases of TRALI should trigger notification of the blood bank to investigate the donor, as other potential recipients are at risk. Blood products from multiparous donors appear to confer the highest risk for inducing TRALI. Of note, the recipient does not appear to be at increased risk for TRALI from future transfusions, although re-exposure to the same donor would cause similar problems. Mortality for TRALI is estimated at 5%, which is much more optimistic than ARDS.</p><p>The transfusion in this case was elective and the starting hematocrit was not critically low. Care for the patient during and after this complication is supportive. Intubation may be necessary, but resolution is usually rapid and most patients are extubated within 48 hours. Ventilator management is guided by the same principles used in ARDS, i.e., a lung-protective ventilator strategy. A trial of diuresis can help distinguish between volume overload and TRALI. Although steroids have been used anecdotally, they have not been studied prospectively and are not recommended. The use of erythropoietin has been shown to increase hemoglobin concentrations in critically ill patients, but it does not effect the average number of PBCs used or the number of patients who receive a transfusion. Erythropoietin use is associated with an increased number of thrombotic events.</p>"		17804841	15584994	15818095		Efficacy and safety of epoetin alfa in critically ill patients	Toward an understanding of transfusionrelated acute lung injury 	Transfusionrelated acute lung injury definition and review	
transfusion; risks; patient safety	sesats 10	1425	379	B	<p>hepatitis from transfused packed red blood cells</p>	<p>HIV from infusing cryoprecipitate</p>	<p>sepsis following the administration of platelets</p>	<p>transfusion associated acute lung injury (TRALI) after giving FFP</p>		Critical Care		<p>Which of the following adverse effects of blood component transfusion has the lowest incidence?</p>	"<p>Cryoprecipitate is a pooled blood product, and transfusion entails a risk of exposure to multiple donors. HIV infection from cryoprecipitate has not been documented, probably because the measures taken to reduce viral contamination are more aggressive than are allowed for cell-based products such as red cells and platelets. Hepatitis screening of donated blood products is vigilant, but blood-borne transmission, while rare, remains more common than the other risks listed. TRALI (transfusion-related acute lung injury) is thought to represent an immune-mediated injury to the lung from antibody contaminants in blood products, most commonly FFP. Bacterial contamination can occur in platelet packs because of the need to store these products at room temperature, which increases the risk of sepsis.</p>"		15715679	18784496	19224781	17198845	Pathogen inactivation technology cleansing the blood supply	silent risks of blood transfusion	Transfusionrelated acute lung injury current concepts for the cl	Emerging infectious diseases that threaten the blood supply
transplantation; single lung; emphysema; complication; graft compression	sesats 10	1448	380	B	<p>begin inhaled prostaglandin IÍ.</p>	<p>begin split ventilation with a double lumen tube and two ventilators.</p>	<p>do a transplant pneumonectomy.</p>	<p>initiate extracorporeal membrane oxygenation (ECMO).</p>	<p>relist him for emergent retransplantation.</p>	Critical Care	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4919_4919a.jpg	<p>A 61-year-old man with end-stage COPD underwent a right lung transplant via a right axillary muscle-sparing thoracotomy. The allograft ischemic time was 300 minutes. Postoperatively the patient had radiographic signs of primary allograft dysfunction. On the third postoperative day he developed hypotension requiring vasopressor support. The chest radiograph is shown. The appropriate immediate action is to</p>	"<p>The patient has a highly diseased and overly compliant residual emphysematous left lung and a progressively crowded, compressed and dysfunctional right allograft. This creates a significant support challenge, as the physical characteristics and optimal ventilation characteristics of the two lungs are quite different. This scenario was predicted early in the history of lung transplantation, and it is why initial single lung transplants were restricted to patients with pulmonary fibrosis. COPD is now the most common indication for lung transplantation (nearly half), and outcomes are better for these patients than for any other indication. In this case the native lung is hyperinflated and the mediastinum is shifted, causing contralateral compression. The transplanted lung has lower vascular resistance and is therefore hyper-perfused, but the &quot;auto PEEP&quot; of the remaining emphysematous lung is limiting ventilation of the allograft. This ventilation/perfusion mismatch stabilizes in most patients, but the immediate solution is to provide independent lung ventilation using a double lumen endotracheal tube and separate ventilators. The native lung should be ventilated slowly with adequate expiratory time and with modest volume to optimize its function, and the transplant lung settings are more conventional. This strategy will support the patient long enough for the allograft to recover from what is usually harvest-related dysfunction (in this case a long ischemic time). ECMO is not necessary and since the problem is not vascular, nitric oxide or prostaglandins are not indicated. Ultimately, however, it may be necessary to reduce the volume of the remaining native lung, which will resolve the ongoing tendency for hyperinflation.&nbsp;Retransplantation&nbsp;or removal should not be considered unless the graft has failed for non-mechanical reasons such as refractory rejection, sepsis from infection, or irreparable bronchial dehiscence.</p>"		9187816	18374782	17382655	8732598	Indications Unilateral bilateral heartlung and lobar transplant 	Native lung volume reduction surgery relieves functional graft c	Predictors of independent lung ventilation an analysis of 170 si	Single lung transplantation followed by contralateral bullectomy
CABG; complication; deep sternal wound infection; treatment	sesats 10	1390	381	B	"<p>debridement of the sternum, plating of sternal fragments, and coverage with pectoral muscle flaps.</p>"	"<p>incision and drainage, vacuum dressing, and a PICC line for antibiotics.</p>"	"<p>initial debridement of the sternum, vacuum dressing and delayed muscle flap coverage.</p>"	"<p>removal of dead bone, soft tissue wound excision, and immediate rotation of bilateral pectoral muscle flaps into the defect.</p>"	<p>sternal debridement and closure over substernal and subcutaneous irrigation drains.</p>	Critical Care		"<p>An obese (BMI = 39) 62-year-old man was discharged on POD#5 after a routine coronary artery bypass operation. His past medical history included diabetes, mild obstructive lung disease due to tobacco use, and hypertension. Two weeks later he had erythema and serous discharge from his wound and oral cephalexin was prescribed. Several days after that clinic visit he presented to the ER with fever, chills, and a white blood cell count of 15,000. On exam, there was gross pus coming from the wound and a sternal click was felt. An emergent CT scan showed that the bone was intact but air was present in the subcutaneous tissues. Each of the following treatment plans is acceptable EXCEPT</p>"	"<p>The reported incidence of postoperative deep sternal wound infection varies from 0.4-5%. Associated risk factors include diabetes, obesity, female gender, coronary artery bypass surgery, use of bilateral internal mammary arteries (especially in diabetic patients), prolonged operation, postoperative bleeding and transfusions, and the use of bone wax. The treatment of deep sternal wound infection remains somewhat controversial. However, treatment with prolonged antibiotic administration with or without local measures (incision and drainage, vacuum dressings) is unacceptable. Such an approach is associated with a high failure rate and excess mortality. Wound debridement remains a fundamental principle of infected wound management. Vacuum dressing therapy has gained support as an ancillary method to expedite the transition to definitive closure. Transfer of viable tissue with a reliable blood supply (muscle, omentum) is used along with drains to fill defects and to complete the resolution of complex wounds. Sterile dehiscence of the sternum, which may account for 60% of patients with wound complications after cardiac surgery, may be treated with simple re-wiring and closure. However, the described patient has an unstable sternum and gross purulence, so open debridement must not be delayed in his care. Leaving the sternum open with interval dressing changes and using quantitative wound cultures to determine the time for closure may be acceptable, although inefficient. Adding vacuum-assisted wound therapy can shorten the interval to closure, but many centers follow a more aggressive plan of debridement and closure augmented by continuous antibiotic irrigation, muscle flap coverage, or reapproximation with wires or plates alone or in combination. Failure rates for these therapies are uncertain, but patient risk and wound complexity must be appreciated. Closure and continuous irrigation can be considered for early cases (Oakley type I), but more aggressive and staged approaches are best for delayed or chronic presentations (Oakley type II-V). The wound vacuum dressing technique may complement staged treatment (aggressive debridement, vacuum dressing, delayed muscle flap or primary wound closure) for the most advanced sternal infections. The concept of sternal preservation to prevent secondary complications such as respiratory failure has gained popularity and should be considered. The correct approach is to minimize occurrence, appreciate treatment options and formulate individualized treatment based on patient variables.</p>"		16163091	15511452	8619682		Vacuumassisted closure for sternal wounds a firstline therapeuti	Sternal preservation a better way to treat most sternal wound co	Postoperative mediastinitis classification and management	
advanced cardiac life support; medications; route of administration	sesats 10	1365	382	A	<p>amiodarone.</p>	<p>epinephrine.</p>	<p>lidocaine.</p>	<p>vasopressin.</p>		Critical Care		"<p>A 62-year-old man underwent a 3-vessel CABG one week ago and was nearing discharge. His past history was complex, including hypertension, diabetes and dialysis-dependent renal failure. While the nurse was giving final discharge instructions, the patient fell back into his bed and was unresponsive with no pulse. CPR was initiated and ventricular fibrillation was documented. After defibrillation it was not possible to administer medications because IV access could not be obtained. Femoral line placement was unsuccessful due to the patient&#39;s nephrogenic fibrosing dermopathy. The patient was orally intubated. Each of the following medications can be given via the endotracheal tube EXCEPT</p>"	"<p>Advanced cardiac life support (ACLS) guidelines (see reference) advocate intravenous administration of medications when possible. The advantages of peripheral access are ready access in most patients and simple catheters that do not require interruption of CPR. If return of spontaneous circulation does not occur after the first several minutes, central access should be obtained to ensure delivery of medications and to facilitate blood draws for labs. The 2005 guideline specifies access route priorities, and administration via an endotracheal tube was downgraded to third line and intraosseous administration was recommended as second line, after intravenous administration. Intraosseous administration of medication utilizes the same dose as intravenous administration and achieves the same plasma concentrations as central administration. However, specialized needles and training are needed for providers to secure intraosseous access. Because this may not be feasible for most institutions or providers, endotracheal administration must be considered in certain situations.</p><p>In this case, intravenous access was attempted without success. Another attempt at central venous access with cut-down may succeed, but the delay for setup is undesirable, and CPR interruption is required. The endotracheal tube (ETT) offers immediate access, but not all medications may be safely administered, and dosing for some drugs is different to achieve the same plasma concentrations as IV administration. The acronym NAVEL may facilitate recall of common medications that may be administered via ETT (NAVEL= naloxone, atropine, vasopressin, epinephrine, lidocaine). Studies have shown conflicting results about the optimal endotracheal dose of medications. For epinephrine and lidocaine, the recommended dose is 2 to 2.5 times the IV dose diluted in 5 or 10 ml of normal saline. For vasopressin, the recommended endotracheal dose is 40 units, the same as the IV dose, but diluted in 10 ml of normal saline. After the medication is instilled via the ETT, CPR should be briefly stopped and bagged breaths given to distribute the medication throughout the airways. Bicarbonate, calcium and amiodarone, however, should not be administered via ETT. Amiodarone is a highly lipid soluble drug with somewhat irregular absorption through the lungs. Severe, acute lung reactions have been documented to amiodarone given via ETT. It is readily stored in lung and other tissues, and pulmonary toxicity is a significant concern. Although the guidelines support intravenous amiodarone over lidocaine for arrhythmia management, lidocaine is a better drug for ETT administration.</p>"			16314375			Histopathologic Effect of Endotracheal Drug Administration on Po	2005 American Heart Association Guidelines for Cardiopulmonary R	2005 American Heart Association Guidelines for Cardiopulmonary R	
aorta; descending dissection; management	sesats 10	1252	383	E	<p>branch stenting of the left femoral artery.</p>	<p>left thoracotomy with interposition aortic graft.</p>	<p>percutaneous fenestration of the aorta.</p>	<p>thoracic aortic stent graft placement.</p>	<p>transfer to the ICU urgently for hypertension management.</p>	Critical Care	"http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4564_4564a.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4564_4564b.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4564_4564c.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4564_4564d.jpg"	"<p>A 65-year-old man with a history of hypertension presented to the emergency room complaining of severe back pain and left leg numbness that began acutely. On exam, he appeared in mild distress. He has no left femoral pulse and his left leg is cool. A chest radiograph and CT images are shown. Each of the following options is an acceptable treatment plan for his problem EXCEPT</p>"	"<p>Conventional management of an uncomplicated descending aortic dissection without malperfusion syndrome, uncontrolled pain, enlarging aorta, or rupture is medical care, with expected mortality of approximately 10%. Medical management consists of invasive monitoring and strict blood pressure control with reduced shear (dp/dt) in an ICU setting. In the absence of futility, however, medical management of complicated cases is not appropriate. Roughly half of dissection patients present with complications and the mortality for them approaches 35%. The traditional approach to patients with malperfusion syndromes has been a left thoracotomy with interposition aortic grafting at the site of the primary tear, with or without distal fenestration. Left atrial-to-femoral artery bypass is usually used to reduce the risk of paraplegia. This has been associated with significant morbidity and mortality. More recently, the use of thoracic stent grafts has been applied to this disease with success. The morbidity and mortality of this approach appears to be less, although some centers have reported excellent results with open approaches. The use of thoracic stent grafts for descending thoracic aortic dissections associated with ischemia recently received a Class I indication designation in the STS &quot;Expert Consensus Document on the Treatment of Descending Thoracic Aortic Disease Using Endovascular Stent-Grafts.&quot; It is notable that this was the only Class I indication, although it is an off-label indication. Other percutaneous options are also acceptable including selective stenting of compromised branches or fenestration. It is recognized that this problem can be extremely challenging and complex and that surgical teams caring for such patients should be prepared to perform all of these procedures when necessary.</p>"		17936475	15464482	15364873	15464484	Descending thoracic aortic dissections	Emergency endovascular stentgrafting for lifethreatening acute t	Endovascular treatment of thoracic aortic disease four years of 	Longterm outcome and prognostic predictors of medically treated 
aorta; thoracic aortic aneurysm; complication; paraplegia; prevention	sesats 10	1440	384	B	<p>cerebrospinal fluid drainage via a lumbar catheter.</p>	<p>infusion of fenoldopam during surgery.</p>	<p>monitoring somatosensory-evoked potentials.</p>	<p>reimplantation of dominant intercostal arteries.</p>	<p>use of moderate hypothermia.</p>	Critical Care		<p>At 68-year-old man recently underwent open descending thoracic aortic aneurysm replacement with a 32 mm woven polyester graft. He now has 0/5 strength in both lower extremities. Each of the following intra-operative techniques may reduce the likelihood of this complication EXCEPT</p>	"<p>Paraplegia is a dreaded complication of thoracic aortic surgery. Efforts to decrease the incidence of perioperative paraplegia are directed at improving spinal cord preservation. Moderate hypothermia decreases cellular metabolic activity and thereby decreases oxygen demand. A study by Cambria and colleagues revealed that epidural cooling decreased the incidence of spinal cord ischemic injury from 19.8% to 10.6%. A meta-analysis of eight studies demonstrated that CSF drainage significantly decreased the incidence of paraplegia following thoracic aortic surgery. Fenoldopam is a synthetic, selective peripheral dopamine DA<sub>1</sub> receptor agonist. It has demonstrated benefit in kidney and other solid organ transplants. While it may be used to lower blood pressure during abdominal aortic cross-clamping it has no beneficial effects on spinal cord protection. Perioperative SSEP monitoring does not guarantee safety, but experienced teams advocate its use to guide blood pressure manipulation. Related to this are the detrimental effects of elevated CVP and the concept of maintaining generous spinal cord and brain perfusion pressure, represented by mean arterial perfusion pressure less central venous pressure. A strategy of elevated blood pressure and low CVP is neuroprotective. Segmental artery sacrifice during graft replacement of the aorta heightens these concerns, as does coverage by endovascular grafts. Minimizing backbleeding and reimplanting selected spinal artery branches during open graft replacement also improve perfusion of spinal cord postoperatively.</p>"			12368676	15218460	18242262	Descending and Thoracoabdominal Aortic Aneurysms	Thoracoabdominal aneurysm repair results with 337 operations per	Cerebrospinal fluid drainage to prevent paraplegia during thorac	Paraplegia after extensive thoracic and thoracoabdominal aortic 
arrhythmia; atrial fibrillation; treatment	sesats 10	1253	385	E	<p>oral warfarin sodium with a target INR between 2.0 and 3.0.</p>	<p>intravenous heparin followed by warfarin (target INR= 2-3).</p>	"<p>intravenous heparin, cardioversion, then aspirin, 325 mg daily.</p>"	"<p>intravenous heparin, cardioversion, then warfarin ( target INR= 2-3).</p>"	"<p>intravenous magnesium repletion then aspirin, 325 mg daily.</p>"	Critical Care	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4565_4565f_postop_afib.jpg	"<p>A 76-year-old diabetic woman with a history of congestive heart failure and stroke underwent an uncomplicated CABG. On postoperative day #3, she developed atrial fibrillation with a ventricular rate of 140 and blood pressure of 120/73. She was in no distress. She was treated with beta blockade and oral amiodarone and now has been in the rhythm depicted in the figure for 48 hours. Each of the following plans is acceptable therapy for this patient EXCEPT</p>"	"<p>Atrial fibrillation represents one of the most common complications following cardiac surgery, occurring in 20-50% of patients. Many factors have been cited to elevate the risk of early postoperative atrial fibrillation, but immediate and aggressive management is recommended because postoperative atrial fibrillation is associated with an increased stroke risk. Potassium and magnesium repletion are clearly indicated. Optimal drug treatment for conversion and maintenance remains controversial, and antiplatelet and anticoagulant strategies remain the best strategies for many patients with this complication. No prospective, randomized trials have directly examined the risks and benefits of postoperative anticoagulation for atrial arrhythmias following coronary bypass surgery. Postoperative atrial fibrillation most often resolves within 4-6 weeks. A history of stroke, transient ischemic attack, age &gt; 65, female gender, congestive heart failure, diabetes, hypertension, and coronary artery disease predict an increased embolic risk.</p><p>The American College of Chest physicians published helpful guidelines on anticoagulation for postoperative atrial fibrillation in 2005. Those patients who are at low thromboembolic risk (age &lt; 60 and none of the above risk factors) can be treated with aspirin alone. Patients over age 65 and one additional risk factor or those over 75 years of age should be considered for treatment with warfarin. The risk of postoperative bleeding is elevated by the use of warfarin and should be considered in the context of other risk factors for bleeding including increased chest tube output, advanced age, uncontrolled hypertension, or other factors. In patients such as the described woman (history of stroke or transient ischemic attack), the use of heparin followed by warfarin should also be considered. Current guidelines for treating atrial fibrillation allow for a broad range of acceptable management strategies. The &quot;ACC/AHA/ESC 2006 Guidelines for the Management of Patients with Atrial Fibrillation&quot; generally favor aggressive anticoagulation with warfarin for persistent or recurrent atrial fibrillation except in patients below age 60 years without heart disease or any risk factors for thromboembolism. If cardioversion is successful, then warfarin after discharge is not mandatory and aspirin alone is acceptable.</p>"		16885201	18294574	16167661	18294562	ACCAHAESC 2006 guidelines for the management of patients with at	ACCAHAPhysician Consortium 2008 Clinical Performance Measures fo	Anticoagulation American College of Chest Physicians guidelines 	Mechanisms prevention and treatment of atrial fibrillation after
